WARNING 2025-06-25 19:47:45,903 middleware 14032 36324 Unauthenticated access attempt to /api/frameworks/
WARNING 2025-06-25 19:49:42,556 middleware 14032 34000 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 20:33:15,144 middleware 20020 23720 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 20:36:26,016 middleware 20020 9656 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:00,058 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:00,070 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:00,073 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:00,079 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:00,087 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:00,087 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:00,096 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:00,102 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:17,837 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:17,902 middleware 6560 18420 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 21:11:34,890 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-25 21:12:21,407 middleware 6560 18420 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-25 21:12:56,990 middleware 6560 33668 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-25 21:13:42,488 middleware 6560 18420 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:23:01,371 middleware 6560 13084 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:23:01,387 middleware 6560 13084 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:23:11,679 middleware 6560 13084 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:23:11,707 middleware 6560 13084 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:23:28,314 middleware 6560 35372 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:23:28,340 middleware 6560 35372 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:23:40,994 middleware 6560 38268 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:23:41,026 middleware 6560 38268 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:24:11,099 middleware 6560 35372 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-25 22:24:11,129 middleware 6560 35372 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-26 00:45:39,163 middleware 13708 13620 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-26 00:45:40,949 middleware 13708 24796 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-26 00:53:35,067 middleware 2672 12392 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-26 00:54:00,281 middleware 2672 28544 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-26 00:54:25,145 middleware 18348 32104 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-26 01:44:12,173 middleware 33404 35688 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-26 01:50:24,502 middleware 35860 27000 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-26 01:50:25,282 middleware 35860 25808 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-26 01:51:26,011 middleware 19016 27864 Unauthenticated access attempt to /api/incidents/counts/
WARNING 2025-06-26 01:52:14,402 middleware 19016 27864 Unauthenticated access attempt to /api/frameworks/
WARNING 2025-06-26 01:52:25,182 middleware 19016 17576 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-26 02:10:34,318 middleware 36788 35688 Unauthenticated access attempt to /api/incidents/
WARNING 2025-06-26 02:18:26,140 middleware 29836 2088 Unauthenticated access attempt to /api/incidents/
